question,golden_text,retrieved_chunks,precision,recall
What types of professionals and methods did President Biden mention investing in to address community safety?,"invest in more community police officers, more mental health workers, more community violence intervention.","{'e Prevention in the White House, that the Vice President is leading the charge. Thank you for doing it.\n\nMeanwhile — meanwhile, my predecessor told the NRA he’s proud he did nothing on guns when he wa', 's and blue states.\n\nRecord investments in Tribal communities.\n\nBecause of my investment in family farms — because I invested in family farms — led by my Secretary of Agriculture, who knows more about ', 'in history.\n\nMR. NIKOUI: (Inaudible.)\n\nTHE PRESIDENT: It was then, through no — through my American Rescue Plan — which every American (Republican) voted against, I might add — we made the largest inv', 'estment in public safety ever.\n\nLast year, the murder rate saw the sharpest decrease in history. Violent crime fell to one of its lowest levels in more than 50 years.\n\nBut we have more to do. We have ', 'to help cities invest in more community police officers, more mental health workers, more community violence intervention.\n\nGive communities the tools to crack down on gun crime, retail crime, and car'}",0.0859375,1.0
How many new jobs were created in the first three years mentioned in President Biden's address?,Fifteen million new jobs in just three years.,"{' hope, with historic job growth and small-business growth for Black and Hispanics and Asian Americans. Eight hundred thousand new manufacturing jobs in America and counting.\n\nWhere is it written we ca', 'n vice president to our first Black president. Now a president to the first woman vice president.\n\nIn my career, I’ve been told I was too young. By the way, they didn’t let me on the Senate elevators ', 'r Union is strong and getting stronger.\n\nAUDIENCE: Four more years! Four more years! Four more years!\n\nTHE PRESIDENT: Tonight — tonight, I want to talk about the future of possibilities that we can bu', 't in clean energy, advanced manufacturing, creating tens of thousands of jobs here in America.\n\nAnd thanks — and thanks to our Bipartisan Infrastructure Law, 46,000 new projects have been announced al', ' world.\n\nFifteen million new jobs in just three years. A record. A record.\n\nUnemployment at 50-year lows.\n\nA record 16 million Americans are starting small businesses, and each one is a literal act of'}",0.06504065040650407,1.0
"As of the statement, how much has the racial wealth gap decreased?",The racial wealth gap is the smallest it’s been in 20 years.,"{' hope, with historic job growth and small-business growth for Black and Hispanics and Asian Americans. Eight hundred thousand new manufacturing jobs in America and counting.\n\nWhere is it written we ca', 'n’t be the manufacturing capital of the world? We are and we will.\n\nMore people have health insurance today — more people have health insurance today than ever before.\n\nThe racial wealth gap is the sm', 'nd the very wealthy finally beginning to pay their fair share.\n\nLook, I’m a capitalist. If you want to make or can make a million or millions of bucks, that’s great. Just pay your fair share in taxes.', ' grew up in a home where trickle-down economics didn’t put much on my dad’s kitchen table. That’s why I’m determined to turn things around so the middle class does well. When they do well, the poor ha', 'reasing the Pell Grants to working- and middle-class families and increase record investments in HBCUs and minority-serving institutions, including Hispanic institutions.\n\nWhen I was told I couldn’t u'}",0.05303030303030303,0.5833333333333334
Which late friend and former colleague of many present at the event was mentioned as having participated in the march?,John Lewis was on that march. We miss him.,"{' speak to the nation. And he said, “I address you at a moment unprecedented in the history of the Union”. Hitler was on the march. War was raging in Europe.\n\nPresident Roosevelt’s purpose was to wake ', 'there are no surprises.\n\nIt matters. It matters.\n\nAnd so does this. In November, my team began serious negotiations with a bipartisan group of senators. The result was a bipartisan bill with the tough', ' their fundamental right to vote.\n\nThey were beaten. They were bloodied and left for dead. Our late friend and former colleague John Lewis was on that march. We miss him.\n\nBut joining us tonight are o', 'honor him and all the heroes who marched with him, then it’s time to do more than talk.\n\nPass the Freedom to Vote Act, the John Lewis Voting Right(s) Act.\n\nAnd stop — stop denying another core value o', ' who face an unprecedented moment in the history of the Union.\n\nAnd, yes, my purpose tonight is to wake up the Congress and alert the American people that this is no ordinary moment either. Not since '}",0.07258064516129033,1.0
"How long is the waiting period for a hearing for those let into the country, according to President Biden's statement?","by — if they get by and let into the country, it’s six to eight years before they have a hearing.","{' when you win.\n\nAs I’ve done ever since being elected to office, I ask all of you, without regard to party, to join together and defend democracy. Remember your oath of office to defend against all th', 'r Union is strong and getting stronger.\n\nAUDIENCE: Four more years! Four more years! Four more years!\n\nTHE PRESIDENT: Tonight — tonight, I want to talk about the future of possibilities that we can bu', 'And we will.\n\nLet me close with this.\n\nTHE PRESIDENT: Yay!\n\nI know you don’t want to hear anymore, Lindsey, but I got to say a few more things.\n\nI know I may not look like it, but I’ve been around a w', ' got together and said was a good bill? I’ll be darned. That’s amazing.\n\nThat bipartisan bill would hire 1,500 more security agents and officers, 100 more immigration judges to help tackle the backloa', 'nto the country, it’s six to eight years before they have a hearing. And it’s worth the — taking the chance of the $8,000.\n\n(Cross-talk.)\n\nBut — but if it’s only six mon- — six weeks, the idea is it’s'}",0.1171875,0.7894736842105263
How much has President Biden signed to cut from the federal deficit in the next decade through a bipartisan deal?,I signed a bipartisan deal to cut another trillion dollars in the next decade.,"{'r — a majority in the House and Senate would endorse the bill as well — a majority right now.\n\nAUDIENCE MEMBER: Yes!\n\nTHE PRESIDENT: But unfortunately, politics have derailed this bill so far.\n\nI’m to', 'll.\n\nHere at home, I’ve signed over 400 bipartisan bills. But there’s more to pass my Unity Agenda.\n\nStrengthen penalties on fentanyl trafficking. You don’t want to do that, huh?\n\nPass bipartisan priv', ' guys don’t want another $2 trillion tax cut?\n\nAUDIENCE MEMBER: Liar!\n\nTHE PRESIDENT: I kind of thought that’s what your plan was. Well, that’s good to hear. You’re not going to cut another $2 trillio', 'l deficit by over $1 trillion.\n\nI signed a bipartisan deal to cut another trillion dollars in the next decade.\n\nIt’s my goal to cut the federal deficit another $3 trillion by making big corporations a', ' got together and said was a good bill? I’ll be darned. That’s amazing.\n\nThat bipartisan bill would hire 1,500 more security agents and officers, 100 more immigration judges to help tackle the backloa'}",0.11475409836065574,1.0
What provisions does the bipartisan bill include to address security and immigration case backlogs?,"That bipartisan bill would hire 1,500 more security agents and officers, 100 more immigration judges to help tackle the backload of 2 million cases, 4,300 more asylum officers, and new policies so they can resolve cases in six months instead of six years now.","{'s to Congress: We have to stand up to Putin. Send me a bipartisan national security bill. History is literally watching. History is watching.\n\nIf the United States walks away, it will put Ukraine at r', 'est set of border security reforms we’ve ever seen.\n\nAUDIENCE: Booo —\n\nTHE PRESIDENT: Oh, you don’t think so?\n\nAUDIENCE: Booo —\n\nTHE PRESIDENT: Oh, you don’t like that bill — huh? — that conservatives', 'll.\n\nHere at home, I’ve signed over 400 bipartisan bills. But there’s more to pass my Unity Agenda.\n\nStrengthen penalties on fentanyl trafficking. You don’t want to do that, huh?\n\nPass bipartisan priv', 'rst day in office, I introduced a comprehensive bill to fix our immigration system. Take a look at it. It has all these and more: secure the border, provide a pathway to citizenship for DREAMers, and ', ' got together and said was a good bill? I’ll be darned. That’s amazing.\n\nThat bipartisan bill would hire 1,500 more security agents and officers, 100 more immigration judges to help tackle the backloa'}",0.15503875968992248,0.5263157894736842
How can Ukraine stop Putin according to President Biden?,But Ukraine — Ukraine can stop Putin. Ukraine can stop Putin if we stand with Ukraine and provide the weapons that it needs to defend itself.,"{'s to Congress: We have to stand up to Putin. Send me a bipartisan national security bill. History is literally watching. History is watching.\n\nIf the United States walks away, it will put Ukraine at r', 'predecessor, a former Republican president, tells Putin, quote, “Do whatever the hell you want.”\n\nAUDIENCE: Booo —\n\nTHE PRESIDENT: That’s a quote.\n\nA former president actually said that — bowing down ', 'aine, I assure you: He will not.\n\nBut Ukraine — Ukraine can stop Putin. Ukraine can stop Putin if we stand with Ukraine and provide the weapons that it needs to defend itself.\n\nThat is all — that is a', 'e and overseas at the very same time.\n\nOverseas, Putin of Russia is on the march, invading Ukraine and sowing chaos throughout Europe and beyond.\n\nIf anybody in this room thinks Putin will stop at Ukr', 'll Ukraine is asking. They’re not asking for American soldiers. In fact, there are no American soldiers at war in Ukraine, and I’m determined to keep it that way.\n\nBut now assistance to Ukraine is bei'}",0.17073170731707318,1.0
"What action did President Biden promise to take if someone tries to cut Social Security or Medicare, or raise the retirement age?","If anyone here tries to cut Social Security or Medicare or raise the retirement age, I will stop you.","{'te lower prices on prescription drugs, just like the VA is able to do for veterans.\n\nThat’s not just saving seniors money. It’s saving taxpayers money. We cut the federal deficit by $160 billion becau', 'not fair.\n\nWe have two ways to go. Republicans can cut Social Security and give more tax breaks to the wealthy. I will —\n\nAUDIENCE MEMBER: (Inaudible.)\n\nTHE PRESIDENT: That’s the proposal. Oh, no? You', 'ity or Medicare or raise the retirement age, I will stop you.\n\nThe working people — the working people who built this country pay more into Social Security than millionaires and billionaires do. It’s ', ' Affordable Care Act.\n\nAUDIENCE: Booo —\n\nTHE PRESIDENT: I’m not going to let that happen. We stopped you 50 times before, and we’ll stop you again.\n\nIn fact, I’m not only protecting it, I’m expanding ', 'ght, let’s all agree once again to stand up for seniors.\n\nMany of my friends on the other side of the aisle want to put Social Security on the chopping block.\n\nIf anyone here tries to cut Social Secur'}",0.14173228346456693,1.0
"During which global event was President Biden born, and what did America stand for at that time?","I was born amid World War Two, when America stood for the freedom of the world.","{' always be President for all Americans because I believe in America. I believe in you, the American people. You’re the reason we’ve never been more optimistic about our future than I am now.\n\nSo, let’', ' speak to the nation. And he said, “I address you at a moment unprecedented in the history of the Union”. Hitler was on the march. War was raging in Europe.\n\nPresident Roosevelt’s purpose was to wake ', 'in history.\n\nMR. NIKOUI: (Inaudible.)\n\nTHE PRESIDENT: It was then, through no — through my American Rescue Plan — which every American (Republican) voted against, I might add — we made the largest inv', ' who face an unprecedented moment in the history of the Union.\n\nAnd, yes, my purpose tonight is to wake up the Congress and alert the American people that this is no ordinary moment either. Not since ', '. The American story of resentment, revenge, and retribution.\n\nThat’s not me. I was born amid World War Two, when America stood for the freedom of the world. I grew up in Scranton, Pennsylvania, and C'}",0.12295081967213115,1.0
"How many more asylum officers does the new bill propose, and what impact will it have on the case resolution time?","s, 4,300 more asylum officers, and new policies so they can resolve cases in six months instead of six years now.","{'d of 2 million cases, 4,300 more asylum officers, and new policies so they can resolve cases in six months instead of six years now. What are you against?\n\nOne hundred more high-tech drug detection ma', 'r — a majority in the House and Senate would endorse the bill as well — a majority right now.\n\nAUDIENCE MEMBER: Yes!\n\nTHE PRESIDENT: But unfortunately, politics have derailed this bill so far.\n\nI’m to', 'rst day in office, I introduced a comprehensive bill to fix our immigration system. Take a look at it. It has all these and more: secure the border, provide a pathway to citizenship for DREAMers, and ', '.\n\nIt would also give me and any new president new emergency authority to temporarily shut down the border when the number of migrants at the border is overwhelming.\n\nThe Border Patrol union has endor', ' got together and said was a good bill? I’ll be darned. That’s amazing.\n\nThat bipartisan bill would hire 1,500 more security agents and officers, 100 more immigration judges to help tackle the backloa'}",0.14615384615384616,0.95
How are the vaccines that were developed for COVID-19 now being utilized according to President Biden?,The pandemic no longer controls our lives. The vaccine that saved us from COVID is — are now being used to beat cancer.,"{'te lower prices on prescription drugs, just like the VA is able to do for veterans.\n\nThat’s not just saving seniors money. It’s saving taxpayers money. We cut the federal deficit by $160 billion becau', 'e country was hit by the worst pandemic and the worst economic crisis in a century.\n\nRemember the fear, record losses?\n\nRemember the spikes in crime and the murder rate? A raging virus that took more ', ' President Harris for being an incredible leader defending reproductive freedom and so much more. Thank you.\n\nMy predecessor came to office determined to see Roe v. Wade overturned. He’s the reason it', 'l Americans to make every- — sure everyone has a fair shot and we leave no one — no one behind.\n\nThe pandemic no longer controls our lives. The vaccine that saved us from COVID is — are now being used', ' hers. To my friends across the aisle — don’t keep this waiting any longer. Guarantee the right to IVF. Guarantee it nationwide.\n\nLike most Americans, I believe Roe v. Wade got it right.\n\nI thank Vice'}",0.145985401459854,0.9090909090909091
What minimum tax rate does President Biden propose for big corporations?,It’s time to raise the corporate minimum tax to at least 21 percent so every big corporation finally begins to pay their fair share.,"{'han the vast majority of Americans pay.\n\nNo billionaire should pay a lower federal tax rate than a teacher, a sanitation worker, or a nurse.\n\nI proposed a minimum tax for billionaires of 25 percent — ', 'w I wrote and we signed, big companies now have to pay a minimum of 15 percent. But that’s still less than working people pay in federal taxes.\n\nIt’s time to raise the corporate minimum tax to at leas', 'big corporations need another $2 trillion tax break?\n\nAUDIENCE: No!\n\nTHE PRESIDENT: I sure don’t. I’m going to keep fighting like hell to make it fair. Under my plan, nobody earning less than $400,000', 't 21 percent so every big corporation finally begins to pay their fair share.\n\nI also want to end tax breaks for Big Pharma, Big Oil, private jets, massive executive pay when it was only supposed to b', ' what the average federal tax is for those billionaires?\n\nAUDIENCE MEMBER: Zero!\n\nTHE PRESIDENT: No.\n\nThey’re making great sacrifices — 8.2 percent.\n\nAUDIENCE: Booo —\n\nTHE PRESIDENT: That’s far less t'}",0.16666666666666666,0.9545454545454546
How many new manufacturing jobs have been created in America recently?,Eight hundred thousand new manufacturing jobs in America and counting.,"{'is and will be soft. And now, instead of aporting — importing foreign products and exporting American jobs, we’re exporting American products and creating American jobs right here in America, where th', ' hope, with historic job growth and small-business growth for Black and Hispanics and Asian Americans. Eight hundred thousand new manufacturing jobs in America and counting.\n\nWhere is it written we ca', ' ja- — jobs of the future go overseas, 4,000 union jobs with higher wages are building a future in Belvidere right here in America.\n\nHere tonight is UAW President Shawn Fain, a great friend and a grea', 't in clean energy, advanced manufacturing, creating tens of thousands of jobs here in America.\n\nAnd thanks — and thanks to our Bipartisan Infrastructure Law, 46,000 new projects have been announced al', ' world.\n\nFifteen million new jobs in just three years. A record. A record.\n\nUnemployment at 50-year lows.\n\nA record 16 million Americans are starting small businesses, and each one is a literal act of'}",0.08849557522123894,1.0
What will happen if the United States walks away according to President Biden's speech?,"If the United States walks away, it will put Ukraine at risk. Europe is at risk. The free world will be at risk, emboldening others to do what they wish to do us harm.","{'had come to stop the peaceful transfer of power, to overturn the will of the people.\n\nJanuary 6th lies about the 2020 election and the plots to steal the election posed a great — gravest threat to U.S', 'lk away. We will not bow down. I will not bow down.\n\nIn a literal sense, history is watching. History is watching — just like history watched three years ago on January 6th when insurrectionists storm', 'and again.\n\nFolks, America cannot go back.\n\nI am here to- — tonight to show what I believe is the way forward, because I know how far we’ve come.\n\nFour years ago next week, before I came to office, th', 'And we will.\n\nLet me close with this.\n\nTHE PRESIDENT: Yay!\n\nI know you don’t want to hear anymore, Lindsey, but I got to say a few more things.\n\nI know I may not look like it, but I’ve been around a w', 'in 2022 and 2023. And we’ll win again in 2024.\n\nIf you — if you, the American people, send me a Congress that supports the right to choose, I promise you I will restore Roe v. Wade as the law of the l'}",0.043795620437956206,0.21428571428571427
What is the purpose of adding one hundred more high-tech drug detection machines according to President Biden's speech?,One hundred more high-tech drug detection machines to significantly increase the ability to screen and stop vehicles smuggling fentanyl into America that’s killing thousands of children.,"{'d of 2 million cases, 4,300 more asylum officers, and new policies so they can resolve cases in six months instead of six years now. What are you against?\n\nOne hundred more high-tech drug detection ma', 'e Prevention in the White House, that the Vice President is leading the charge. Thank you for doing it.\n\nMeanwhile — meanwhile, my predecessor told the NRA he’s proud he did nothing on guns when he wa', ' 100 million of you can no longer be denied health insurance because of a preexisting condition. But my predecessor and many in this chamber want to take the — that prescription drug away by repealing', 'chines to significantly increase the ability to screen and stop vehicles smuggling fentanyl into America that’s killing thousands of children.\n\nThis bill would save lives and bring order to the border', 't in clean energy, advanced manufacturing, creating tens of thousands of jobs here in America.\n\nAnd thanks — and thanks to our Bipartisan Infrastructure Law, 46,000 new projects have been announced al'}",0.183206106870229,0.96
Who are the Americans mentioned as being unjustly detained by the Russians that President Biden vows to work around the clock to bring home?,We also — we will also work around the clock to bring home Evan and Paul — Americans being unjustly detained by the Russians — and others around the world.,"{'to a Russian leader. I think it’s outrageous, it’s dangerous, and it’s unacceptable.\n\nAmerica is a founding member of NATO, the military alliance of democratic nations created after World War Two prev', 's to Congress: We have to stand up to Putin. Send me a bipartisan national security bill. History is literally watching. History is watching.\n\nIf the United States walks away, it will put Ukraine at r', 'ESIDENT: (The President holds up a pin reading “Say Her Name, Laken Riley.”) Lanken — Lanken (Laken) Riley, an innocent young woman who was killed.\n\nREPRESENTATIVE GREENE: By an illegal!\n\nTHE PRESIDEN', 'ing every one of your loved ones home.\n\nWe also — we will also work around the clock to bring home Evan and Paul — Americans being unjustly detained by the Russians — and others around the world.\n\nIsr', 'll Ukraine is asking. They’re not asking for American soldiers. In fact, there are no American soldiers at war in Ukraine, and I’m determined to keep it that way.\n\nBut now assistance to Ukraine is bei'}",0.17164179104477612,1.0
What inspired President Biden to pursue a career in service?,"I watched in horror as two of my heroes — like many of you did — Dr. King and Bobby Kennedy, were assassinated. And their legacies inspired me to pur- — pursue a car- — a career in service.","{' speak to the nation. And he said, “I address you at a moment unprecedented in the history of the Union”. Hitler was on the march. War was raging in Europe.\n\nPresident Roosevelt’s purpose was to wake ', 'n vice president to our first Black president. Now a president to the first woman vice president.\n\nIn my career, I’ve been told I was too young. By the way, they didn’t let me on the Senate elevators ', 'than 1 million American lives of loved ones, millions left behind.\n\nA mental health crisis of isolation and loneliness.\n\nA president, my predecessor, failed in the most basic presidential duty that he', 's of the Business Roundtable. They were mad that I was ever — angry — I — well, they were discussing why I wanted to spend money on education.\n\nI pointed out to them: As Vice President, I met with ove', 'dreds of students so they can go to college. Now he’s able to help, after debt forgiveness, get his own daughter to college.\n\nAnd, folks, look, such relief is good for the economy because folks are no'}",0.08955223880597014,0.36363636363636365
What specific event does President Biden mention that his predecessor and some attendees are trying to bury the truth about?,My predecessor and some of you here seek to bury the truth about January 6th. I will not do that.,"{' speak to the nation. And he said, “I address you at a moment unprecedented in the history of the Union”. Hitler was on the march. War was raging in Europe.\n\nPresident Roosevelt’s purpose was to wake ', ' owes to American people: the duty to care.\n\nAUDIENCE MEMBER: Lies!\n\nTHE PRESIDENT: I think that’s unforgivable.\n\nI came to office determined to get us through one of the toughest periods in the natio', ' and some of you here seek to bury the truth about January 6th. I will not do that.\n\nThis is a moment to speak the truth and to bury the lies. Here’s the simple truth: You can’t love your country only', 'predecessor, a former Republican president, tells Putin, quote, “Do whatever the hell you want.”\n\nAUDIENCE: Booo —\n\nTHE PRESIDENT: That’s a quote.\n\nA former president actually said that — bowing down ', ' who face an unprecedented moment in the history of the Union.\n\nAnd, yes, my purpose tonight is to wake up the Congress and alert the American people that this is no ordinary moment either. Not since '}",0.15126050420168066,0.9
